,area
0,906.0
1,765.5
2,2749.0
3,1171.0
4,985.0
5,1330.0
6,2398.5
7,1835.0
8,1400.5
9,6848.0
10,2116.5
11,1564.0
12,3751.0
13,1898.0
14,1598.5
15,925.0
16,1269.5
17,1762.5
18,1336.0
19,990.5
20,1868.5
21,1372.0
22,583.5
23,894.5
24,1000.5
25,1068.0
26,1363.0
27,968.5
28,1752.5
29,2144.5
30,1672.5
31,679.5
32,2586.0
33,1121.0
34,1162.5
35,1399.0
36,1304.0
37,996.5
38,1857.0
39,1873.5
40,919.0
41,1297.5
42,1467.5
43,1537.0
44,1167.0
45,1454.0
46,1565.5
47,1277.0
48,793.0
49,1833.0
50,2007.5
51,2134.5
52,1660.0
53,1545.5
54,1527.0
55,1168.5
56,2398.5
57,516.0
58,1838.0
59,1971.5
60,833.0
61,1811.0
62,1546.0
63,1227.5
64,1028.5
65,1605.0
66,1290.5
67,1473.5
68,1294.5
69,2215.5
70,2018.0
71,841.0
72,1417.5
73,1700.5
74,1006.0
75,1327.0
76,1594.5
77,2177.5
78,1476.0
79,1765.5
80,2136.0
81,1083.5
82,2052.0
83,1863.0
84,1978.5
85,1254.5
86,1307.5
87,1257.0
88,3050.5
89,1484.0
90,808.5
91,1289.0
92,5453.0
93,1190.5
94,1421.0
95,1656.5
96,2015.5
97,1360.5
98,861.5
99,820.0
100,1552.0
101,2518.5
102,1602.0
103,2098.0
104,867.0
105,905.0
106,2220.0
107,896.0
108,1836.5
109,2827.5
110,1719.0
111,1100.5
112,1240.0
113,5071.0
114,693.0
115,1176.0
116,880.0
117,1401.5
118,1890.0
119,1738.0
120,1543.5
121,1101.5
122,1293.0
123,1437.5
124,1198.0
125,1297.0
126,2011.5
127,1736.0
128,637.5
129,867.5
130,1328.5
131,2084.5
132,1008.5
133,2694.0
134,1377.5
135,1503.5
136,1668.0
137,2095.5
138,851.0
139,1343.0
140,2718.0
141,1573.0
142,775.5
143,1099.5
144,1724.0
145,1466.0
146,1113.0
147,2025.5
148,1207.0
149,1334.0
150,1480.0
151,1347.5
152,928.5
153,1739.5
154,1378.0
155,2005.0
156,1152.0
157,940.5
158,1616.0
159,2074.0
160,1610.0
161,2263.5
162,1179.5
163,1871.0
164,1710.5
165,1509.5
166,944.0
167,792.5
168,1641.5
169,867.5
170,1468.0
171,1904.0
172,1796.5
173,622.0
174,954.0
175,1651.0
176,1037.5
177,1629.5
178,1795.0
179,1727.0
180,902.0
181,1106.0
182,1630.5
183,782.0
184,1598.0
185,1036.5
186,1495.0
187,1213.0
188,1531.0
189,937.5
190,1925.5
191,1359.5
192,1818.5
193,1016.0
194,1351.5
195,1392.0
196,913.0
197,1084.5
198,1718.0
199,1548.0
200,1723.5
201,1024.0
202,1852.0
203,2119.0
204,3434.0
205,1324.5
206,1158.5
207,1269.0
208,1360.0
209,1442.0
210,1821.5
211,2033.5
212,1169.0
213,1080.5
214,1176.0
215,821.0
216,1653.0
217,879.5
218,1248.5
219,2035.0
220,1049.0
221,975.0
222,1720.5
223,1743.0
224,1947.0
225,906.5
226,1259.0
227,1983.0
228,1154.0
229,1249.5
230,2217.0
231,1183.0
232,860.5
233,2094.5
234,1365.0
235,1238.5
236,1581.5
237,2230.5
238,1425.0
239,1757.5
240,978.0
241,1680.0
242,1247.0
243,985.0
244,2016.0
245,1084.5
246,755.0
247,1518.5
248,1622.5
249,1489.0
250,1540.5
251,1396.0
252,1646.0
253,1597.5
254,1324.5
255,2294.5
256,1780.0
257,1778.5
258,1054.0
259,1170.0
260,1073.5
261,2579.0
262,1202.0
263,1575.0
264,1896.0
265,2080.0
266,1228.5
267,2801.5
268,1074.0
269,2157.5
270,935.5
271,1225.5
272,1329.5
273,1663.0
274,1300.5
275,795.5
276,1127.5
277,670.0
278,1004.5
279,1812.0
280,1593.0
281,1386.0
282,1125.0
283,989.5
284,1594.5
285,1052.0
286,1998.5
287,875.0
288,2119.5
289,1962.0
290,1819.5
291,2250.5
292,1717.0
293,1022.0
294,782.0
295,949.5
296,795.5
297,1458.0
298,1249.0
299,1755.0
300,1768.0
301,1870.0
302,719.5
303,955.5
304,1333.5
305,1390.0
306,2141.5
307,1474.0
308,2022.5
309,737.5
310,1281.5
311,1724.5
312,866.0
313,1408.5
314,1122.0
315,1298.5
316,1487.0
317,1910.0
318,585.0
319,1162.0
320,1085.0
321,1164.0
322,2185.0
323,1058.0
324,1431.0
325,1309.0
326,1876.5
327,1387.5
328,1596.5
329,1804.0
330,1435.0
331,1368.0
332,1133.5
333,1055.0
334,1042.5
335,1120.0
336,1249.0
337,1102.5
338,1318.5
339,2025.5
340,1751.0
341,1564.5
342,1482.5
343,1369.0
344,2225.0
345,1828.5
346,1359.0
347,1549.0
348,1152.5
349,1629.0
350,894.0
351,899.0
352,2327.0
353,2087.5
354,2366.5
355,1965.5
356,1415.0
357,1704.5
358,1393.0
359,1090.0
360,878.0
361,1451.0
362,788.5
363,1150.5
364,2140.5
365,1143.5
366,1392.5
367,2200.0
368,985.0
369,1585.5
370,1452.5
371,1882.0
372,1113.5
373,1927.0
374,2006.0
375,2430.5
376,960.0
377,2281.0
378,1857.0
379,1243.0
380,1922.0
381,2532.0
382,1149.5
383,1424.5
384,1396.0
385,1513.5
